Sample.ID,Date,RUN,SDR_position,b1.Lpc,alpha,Notes,ID,tank,Day_Trial,Treat1_Treat2,number_indivs,mean_size,stdev_size
20180719_C3_1,20180719,1,C3,-1.077499078,0.4,min10-20,H0_T_blank_C3,H0_T_blank,5_1,Low,10,NA,NA
20180719_C4_1,20180719,1,C4,-1.12137077,0.4,min10-20,H1_T_blank_C4,H1_T_blank,5_1,Ambient,10,NA,NA
20180719_C5_1,20180719,1,C5,-0.915930694,0.4,min10-20,H1_T_blank_C5,H1_T_blank,5_1,Ambient,10,NA,NA
20180719_C6_1,20180719,1,C6,-1.522804356,0.4,min10-20,H1_T_blank_C6,H1_T_blank,5_1,Ambient,10,NA,NA
20180719_D1_1,20180719,1,D1,-1.910139898,0.4,min10-20,H0_B_blank_D1,H0_B_blank,5_1,Low,10,NA,NA
20180719_D2_1,20180719,1,D2,-1.497034286,0.4,min10-20,H0_B_blank_D2,H0_B_blank,5_1,Low,10,NA,NA
20180719_D3_1,20180719,1,D3,-1.314029768,0.4,min10-20,H0_B_blank_D3,H0_B_blank,5_1,Low,10,NA,NA
20180719_D4_1,20180719,1,D4,-1.086663135,0.4,min10-20,H1_B_blank_D4,H1_B_blank,5_1,Ambient,10,NA,NA
20180719_D5_1,20180719,1,D5,-1.334899286,0.4,min10-20,H1_B_blank_D5,H1_B_blank,5_1,Ambient,10,NA,NA
20180719_D6_1,20180719,1,D6,-1.014332187,0.4,min10-20,H1_B_blank_D6,H1_B_blank,5_1,Ambient,10,NA,NA
20180719_A1_2,20180719,2,A1,-2.944916298,0.4,min10-20,H2_T_A1,H2_T,5_1,Ambient,10,5.2024,0.416551237
20180719_A2_2,20180719,2,A2,-3.352555638,0.4,min10-20,H2_T_A2,H2_T,5_1,Ambient,10,4.743,0.679129017
20180719_A3_2,20180719,2,A3,-3.34535879,0.4,min10-20,H2_T_A3,H2_T,5_1,Ambient,10,4.7867,0.646806351
20180719_A4_2,20180719,2,A4,-1.229564679,0.4,min10-20,H3_T_A4,H3_T,5_1,Low,10,5.393777778,0.413674322
20180719_A5_2,20180719,2,A5,-2.349733055,0.4,min10-20,H3_T_A5,H3_T,5_1,Low,10,5.3153,0.425094512
