Date,ID,tank,SDR_position,number_indivs,b1.Lz,b1.Leq,b1.Lpc,ci.Lz,ci.Leq,ci.Lpc,alpha,Notes
20180719,H1_T_blank_C6,H1_T_blank,C6,NA,-0.886260997,-0.853482416,-0.909560979,0.088720399,0.083144419,0.046163468,0.2,good
20180719,H0_B_blank_D1,H0_B_blank,D1,NA,-0.84061767,-0.786347805,-0.851714933,0.101243795,0.072875779,0.05381812,0.2,good
20180719,H0_B_blank_D2,H0_B_blank,D2,NA,-1.028518043,-1.040426712,-0.985164888,0.096659702,0.049515566,0.041260023,0.2,good
20180719,H0_B_blank_D3,H0_B_blank,D3,NA,-0.858357567,-0.858357567,-0.919434036,0.078157234,0.078157234,0.036382936,0.2,good
20180719,H1_B_blank_D4,H1_B_blank,D4,NA,-0.934048387,-0.934048387,-0.943825076,0.072378491,0.072378491,0.03036956,0.2,good
20180719,H1_B_blank_D5,H1_B_blank,D5,NA,-0.819200876,-0.799612299,-0.747460279,0.103097173,0.082545683,0.056643637,0.2,good
20180719,H1_B_blank_D6,H1_B_blank,D6,NA,-0.614609374,-0.614609374,-0.606974994,0.054857158,0.054857158,0.052742489,0.2,good - left scewed
20180719,H2_T_A1,H2_T,A1,NA,-1.604838849,-1.907369577,-2.207615222,0.189360831,0.110251386,0.105818445,0.2,good
20180719,H2_T_A2,H2_T,A2,NA,-2.444567845,-2.444567845,-1.930015833,0.162041204,0.162041204,0.08017418,0.2,good
20180719,H2_T_A3,H2_T,A3,NA,-3.068219155,-3.068219155,-3.167215642,0.152774787,0.152774787,0.047718169,0.2,good - at start of trial obvious break and slow after 20 mins
20180719,H3_T_A4,H3_T,A4,NA,-1.668688763,-1.668688763,-1.590629316,0.090461967,0.090461967,0.041624559,0.2,good
20180719,H3_T_A5,H3_T,A5,NA,0.062017361,0.062017361,-1.336375442,0.348280069,0.348280069,0.056561909,0.2,good
20180719,H3_T_A6,H3_T,A6,NA,-1.245791056,-1.245791056,-1.317265111,0.125044109,0.125044109,0.068435505,0.2,good - after an obvious break at 10 mins
20180719,H2_B_B1,H2_B,B1,NA,-1.875115995,-1.875115995,-2.054478739,0.165401339,0.165401339,0.054139793,0.2,good
20180719,H2_B_B2,H2_B,B2,NA,-1.421550653,-1.495496096,-2.052826553,0.230575273,0.189922139,0.09723905,0.2,good
20180719,H2_B_B3,H2_B,B3,NA,-2.784444444,-2.784444444,-3.243175745,0.129426536,0.129426536,0.05900741,0.2,good - very linear with no breaks whatsoever
20180719,H3_B_B4,H3_B,B4,NA,-2.229106314,-2.303429023,-2.247012555,0.217147753,0.207831375,0.151214961,0.2,good
20180719,H3_B_B5,H3_B,B5,NA,-3.391381987,-3.242432357,-3.244070393,0.184350401,0.107362053,0.073932098,0.2,good
20180719,H3_B_B6,H3_B,B6,NA,-2.270395867,-2.270395867,-2.147169989,0.125909499,0.125909499,0.122843997,0.2,good - second peak from rates at end of trial - slower than first peak
20180719,H2_T_blank_C1,H2_T_blank,C1,NA,-0.626886447,-0.800011567,-0.87407944,0.075603724,0.093792659,0.04868332,0.2,good
20180719,H2_T_blank_C2,H2_T_blank,C2,NA,-0.959944042,-0.761171319,-0.863918927,0.06819221,0.086879029,0.034158148,0.2,good
20180719,H2_T_blank_C3,H2_T_blank,C3,NA,-0.887936508,-0.864717357,-1.028307974,0.120848612,0.064209916,0.032018866,0.2,good
