Date,time,Sample.ID,milliliters,seconds,LPM,Notes,Period
20180717,11:00,H2_B,22.5,2.88,468.75,,OA_exp_Day_3
20180717,11:00,H3_T,24,2.39,602.5104603,adjusted,OA_exp_Day_3
20180717,11:00,H3_B,18,3.28,329.2682927,adjusted,OA_exp_Day_3
20180717,13:00,H0_T,24,2.56,562.5,adjusted,OA_exp_Day_3
20180717,13:00,H0_B,23,3.58,385.4748603,adjusted,OA_exp_Day_3
20180717,13:00,H1_T,22,3.66,360.6557377,adjusted,OA_exp_Day_3
20180717,13:00,H1_B,21.5,2.27,568.2819383,adjusted,OA_exp_Day_3
20180717,13:00,H2_T,24.5,3.03,485.1485149,,OA_exp_Day_3
20180717,13:00,H2_B,24,3.06,470.5882353,,OA_exp_Day_3
20180717,13:00,H3_T,19.3,2.68,432.0895522,,OA_exp_Day_3
20180717,13:00,H3_B,20.8,2.51,497.2111554,,OA_exp_Day_3
20180717,13:15,H0_T,21.5,2.46,524.3902439,adjusted,OA_exp_Day_3
20180717,13:15,H0_B,19,3.39,336.2831858,adjusted,OA_exp_Day_3
20180717,13:15,H1_T,19,4.7,242.5531915,adjusted,OA_exp_Day_3
20180717,13:15,H1_B,22.5,3.38,399.408284,adjusted,OA_exp_Day_3
20180718,8:00,H0_T,17,3.26,312.8834356,adjusted,OA_exp_Day_4
20180718,8:00,H0_B,25,2.9,517.2413793,adjusted,OA_exp_Day_4
20180718,8:00,H1_T,22,2.35,561.7021277,,OA_exp_Day_4
20180718,8:00,H1_B,20,2.48,483.8709677,,OA_exp_Day_4
20180718,8:00,H2_T,18,2.4,450,,OA_exp_Day_4
20180718,8:00,H2_B,18.2,2.26,483.1858407,,OA_exp_Day_4
20180718,8:00,H3_T,20,2.35,510.6382979,,OA_exp_Day_4
20180718,8:00,H3_B,20,2.52,476.1904762,,OA_exp_Day_4
20180718,9:45,H0_T,19.3,2.39,484.5188285,,OA_exp_Day_4
20180718,9:45,H0_B,21.2,3.06,415.6862745,,OA_exp_Day_4
20180718,14:50,H0_T,19.5,2.32,504.3103448,,OA_exp_Day_4
20180718,14:50,H0_B,21.8,3.08,424.6753247,,OA_exp_Day_4
20180718,14:50,H1_T,24.5,1.98,742.4242424,adjusted,OA_exp_Day_4
20180718,14:50,H1_B,16.5,2.7,366.6666667,adjusted,OA_exp_Day_4
20180718,14:50,H2_T,22.5,2.84,475.3521127,,OA_exp_Day_4
20180718,14:50,H2_B,19,2.33,489.2703863,,OA_exp_Day_4
20180718,14:50,H3_T,22,2.67,494.3820225,,OA_exp_Day_4
20180718,14:50,H3_B,17.3,2.26,459.2920354,,OA_exp_Day_4
