"Sample.ID","TA","Mass"
"20180723_CRM2",2221.69869,59.0274
"20180722_inflow_sump",2061.427323,60.3961
"20180722_H0_T",2051.069532,59.927
"20180722_H0_B",2055.260765,59.6061
"20180722_H1_B",2057.440454,60.8478
"20180722_H2_B",2061.024493,60.8726
"20180722_H1_T",2058.872674,60.396
"20180722_H3_T",2055.399429,60.9571
"20180722_H2_T",2055.114606,60.1077
"20180722_H3_B",2060.279587,60.043
"20180723_inflow_sump",2057.161391,60.5816
"20180723_H3_T",2059.490071,59.5006
"20180723_H3_B",2054.007724,60.388
"20180723_H2_B",2060.64029,60.2364
"20180723_H2_T",2046.530451,59.1868
"20180723_H1_B",2052.422846,60.3754
"20180723_H1_T",2049.89562,60.4351
"20180723_H0_B",2053.896725,60.2677
"20180723_H0_T",2052.008848,60.3782
"20180724_JUNK",2056.333749,59.6162
"20180724_CRM1",2218.331128,59.0948
"20180724_CRM2",2217.505721,59.1501
"20180724_H0_T",2047.854115,60.9255
"20180724_H0_B",2052.286307,60.7082
"20180724_H1_B",2044.812749,60.4953
"20180724_H1_T",2044.894304,60.7747
"20180724_H2_B",2050.390215,60.2477
"20180724_H2_T",2048.978959,60.2746
"20180724_H3_B",2047.264794,60.4172
"20180724_H3_T",2046.66765,60.1056
"20180724_inflow_sump",2050.091009,60.8471
"20180731_JUNK",2065.356405,60.5379
"20180731_CRM1",2211.720984,59.1042
"20180731_CRM2",2212.474019,59.4037
"20180802_JUNK",2067.7595,60.5852
"20180802_CRM1",2210.904327,59.2072
"20180802_CRM2",2211.807328,59.0722
"20180802_H0_B",2053.11897,60.9094
"20180802_H0_T",2046.088878,60.0271
"20180802_H2_T",2048.934955,60.1046
"20180802_H1_B",2053.138862,60.1467
"20180802_H2_B",2051.918677,60.1869
"20180802_H3_B",2046.294684,60.5781
"20180802_H3_T",2049.266181,59.2539
"20180802_H1_T",2046.386955,59.7301
"20180802_inflow_sump",2047.671229,59.4587
"20180804_JUNK",2063.90708,60.8847
"20180804_CRM1",2232.328959,59.1497
"20180804_CRM2",2230.620453,59.1159
"20180805_JUNK",2073.265801,59.1176
"20180805_CRM1",2238.086703,59.0549
"20180805_CRM2",2237.829899,59.3566
"20180804_H0_B",2070.160818,60.6816
"20180804_H0_T",2053.681271,60.3173
"20180804_H1_B",2052.239373,60.3971
"20180804_H1_T",2054.254448,59.929
"20180804_H2_B",2050.178568,60.2673
"20180804_H2_T",2052.599307,60.6661
"20180804_H3_T",2056.307817,59.7887
"20180804_H3_B",2058.435874,60.1291
"20180804_spawn_tank",2054.955321,60.4059
"20180807_JUNK",2074.979799,59.909
"20180807_CRM1",2235.796384,59.3295
"20180807_CRM2",2235.529033,59.1175
"20180808_JUNK",2069.950994,59.0097
"20180808_CRM1",2235.334365,59.1379
"20180808_CRM2",2237.316531,59.1612
"20180809_JUNK",2068.08897,59.6139
"20180809_CRM1",2232.460191,59.3536
"20180809_CRM2",2232.830948,59.0841
"20180807_H0_B",2056.081728,60.7807
"20180807_H0_T",2041.511556,59.0335
"20180807_H1_T",2047.884754,60.979
"20180807_H1_B",2047.478527,60.6679
"20180807_H2_B",2046.573381,59.989
"20180807_H2_T",2051.120934,60.9585
"20180807_H3_T",2049.121223,59.0714
"20180807_H3_B",2043.404355,60.5203
"20180808_H3_T",2018.27806,59.5839
"20180808_H3_B",2022.242069,59.8328
"20180808_H2_B",2011.829069,60.189
"20180808_H2_T",2006.724027,59.7863
"20180808_H1_T",2014.451716,60.4466
"20180808_H1_B",2012.631807,60.9366
"20180808_H0_B",2009.278562,60.7037
"20180808_H0_T",2010.881568,60.5699
"20180810_JUNK",2070.018517,60.4245
"20180810_CRM1",2235.922404,59.3916
"20180810_CRM2",2233.321017,59.1705
"20180810_H0_T",2029.46582546115,60.9515
"20180810_H0_B",2033.5829790305,60.275
"20180810_H1_T",2041.94134514065,60.6814
"20180810_H1_B",2037.20087225287,60.2486
"20180810_H2_T",2061.6758112846,60.8076
"20180810_H2_B",2036.10662183978,60.4985
"20180810_H3_T",2039.32223615441,60.7883
"20180810_H3_B",2034.88632813078,60.931
"20180809_H3_T",2041.3479208961,59.9319
"20180809_H3_B",2037.10461049518,60.8972
"20180809_H2_B",2032.01288517858,59.9586
"20180809_H2_T",2037.72299737191,60.2305
"20180809_H0_T",2039.90511893159,59.3157
"20180809_H1_T",2034.08158724833,60.5992
"20180809_H1_B",2033.49754217523,60.8238
"20180809_H0_B",2033.30565884807,60.7224
"20180811_JUNK",2068.3977369496,60.1175
"20180811_CRM1",2231.32306238023,59.2085
"20180811_CRM2",2230.67929765782,59.3719
"20180811_H0_T",2054.78866925011,60.7023
"20180811_H0_B",2045.02695679488,60.4734
"20180811_H1_T",2047.9332132344,60.4374
"20180811_H1_B",2052.14200838999,60.3228
"20180811_H2_T",2046.31076369065,60.3841
"20180811_H2_B",2048.19399754226,60.6105
"20180811_H3_T",2042.67150688821,60.2539
"20180811_H3_B",2044.45343523348,60.9001
"20180812_JUNK",2071.27246187592,60.6857
"20180812_CRM1",2233.33946710619,59.1624
"20180812_CRM2",2231.12369870915,59.7268
"20180813_JUNK",2072.69096636422,60.7105
"20180813_CRM1",2232.08163227888,59.2093
"20180813_CRM2",2233.00741506772,59.0279
"20180812_H0_B",2034.10703003559,59.0149
"20180812_H0_T",2033.53291527342,60.2695
"20180812_H1_T",2025.42873289885,60.7419
"20180812_H1_B",2031.42661159473,60.3153
"20180812_H2_T",2027.15868209745,60.4524
"20180812_H2_B",2024.15231592166,60.9493
"20180812_H3_T",2030.23838302927,60.5558
"20180812_H3_B",2023.40848571348,60.9045
"20180813_H0_B",2038.54835812032,60.2559
"20180813_H0_T",2036.27115532273,60.7326
"20180813_H1_T",2035.18359729018,60.4454
"20180813_H1_B",2034.46148137529,59.6238
"20180813_H2_T",2027.99068889689,60.2336
"20180813_H2_B",2032.21095581525,60.7755
"20180813_H3_T",2028.85053597787,60.5061
"20180813_H3_B",2031.2206419191,60.4277
